Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s],mod_time,mod_present_pos,mod_goal_pos
49708,1628,3710,2594,2594,0.0,-1116,-66960,49.708,0.08099999999999596,-174.0,-1290.0
49787,1707,3518,2594,2594,0.0,-924,-55440,49.787,0.1599999999999966,-366.0,-1290.0
49868,1788,3353,2594,2594,0.0,-759,-45540,49.868,0.24099999999999966,-531.0,-1290.0
49947,1867,3224,2594,2594,0.0,-630,-37800,49.947,0.3200000000000003,-660.0,-1290.0
50028,1948,3120,2594,2594,0.0,-526,-31560,50.028,0.40099999999999625,-764.0,-1290.0
50107,2027,3039,2594,2594,0.0,-445,-26700,50.107,0.4799999999999969,-845.0,-1290.0
50187,2107,2971,2594,2594,0.0,-377,-22620,50.187,0.5599999999999952,-913.0,-1290.0
50267,2187,2916,2594,2594,0.0,-322,-19320,50.267,0.6400000000000006,-968.0,-1290.0
50348,2268,2873,2594,2594,0.0,-279,-16740,50.348,0.7209999999999965,-1011.0,-1290.0
50427,2347,2836,2594,2594,0.0,-242,-14520,50.427,0.7999999999999972,-1048.0,-1290.0
50507,2427,2806,2594,2594,0.0,-212,-12720,50.507,0.8799999999999955,-1078.0,-1290.0
50587,2507,2783,2594,2594,0.0,-189,-11340,50.587,0.9600000000000009,-1101.0,-1290.0
50668,2588,2764,2594,2594,0.0,-170,-10200,50.668,1.0409999999999968,-1120.0,-1290.0
50747,2667,2745,2594,2594,0.0,-151,-9060,50.747,1.1199999999999974,-1139.0,-1290.0
50827,2747,2730,2594,2594,0.0,-136,-8160,50.827,1.1999999999999957,-1154.0,-1290.0
50907,2827,2721,2594,2594,0.0,-127,-7620,50.907,1.279999999999994,-1163.0,-1290.0
50988,2908,2711,2594,2594,0.0,-117,-7020,50.988,1.360999999999997,-1173.0,-1290.0
51068,2988,2702,2594,2594,0.0,-108,-6480,51.068,1.4409999999999954,-1182.0,-1290.0
51147,3067,2694,2594,2594,0.0,-100,-6000,51.147,1.519999999999996,-1190.0,-1290.0
51227,3147,2689,2594,2594,0.0,-95,-5700,51.227,1.5999999999999943,-1195.0,-1290.0
51307,3227,2687,2594,2594,0.0,-93,-5580,51.307,1.6799999999999997,-1197.0,-1290.0
51387,3307,2686,2594,2594,0.0,-92,-5520,51.387,1.759999999999998,-1198.0,-1290.0
51468,3388,2684,2594,2594,0.0,-90,-5400,51.468,1.841000000000001,-1200.0,-1290.0
51547,3467,2682,2594,2594,0.0,-88,-5280,51.547,1.9199999999999946,-1202.0,-1290.0
51627,3547,2681,2594,2594,0.0,-87,-5220,51.627,2.0,-1203.0,-1290.0
51707,3627,2681,2594,2594,0.0,-87,-5220,51.707,2.0799999999999983,-1203.0,-1290.0
51787,3707,2681,2594,2594,0.0,-87,-5220,51.787,2.1599999999999966,-1203.0,-1290.0
51867,3787,2681,2594,2594,0.0,-87,-5220,51.867,2.239999999999995,-1203.0,-1290.0
51948,3868,2681,2594,2594,0.0,-87,-5220,51.948,2.320999999999998,-1203.0,-1290.0
52027,3947,2681,2594,2594,0.0,-87,-5220,52.027,2.3999999999999986,-1203.0,-1290.0
52108,4028,2681,2594,2594,0.0,-87,-5220,52.108,2.4809999999999945,-1203.0,-1290.0
52187,4107,2681,2594,2594,0.0,-87,-5220,52.187,2.559999999999995,-1203.0,-1290.0
52267,4187,2681,2594,2594,0.0,-87,-5220,52.267,2.6400000000000006,-1203.0,-1290.0
52348,4268,2681,2594,2594,0.0,-87,-5220,52.348,2.7209999999999965,-1203.0,-1290.0
52427,4347,2681,2594,2594,0.0,-87,-5220,52.427,2.799999999999997,-1203.0,-1290.0
52507,4427,2681,2594,2594,0.0,-87,-5220,52.507,2.8799999999999955,-1203.0,-1290.0
52586,4506,2681,2594,2594,0.0,-87,-5220,52.586,2.958999999999996,-1203.0,-1290.0
52667,4587,2681,2594,2594,0.0,-87,-5220,52.667,3.039999999999999,-1203.0,-1290.0
52747,4667,2681,2594,2594,0.0,-87,-5220,52.747,3.1199999999999974,-1203.0,-1290.0
52827,4747,2681,2594,2594,0.0,-87,-5220,52.827,3.1999999999999957,-1203.0,-1290.0
52907,4827,2681,2594,2594,0.0,-87,-5220,52.907,3.279999999999994,-1203.0,-1290.0
52987,4907,2681,2594,2594,0.0,-87,-5220,52.987,3.3599999999999994,-1203.0,-1290.0
53067,4987,2681,2594,2594,0.0,-87,-5220,53.067,3.4399999999999977,-1203.0,-1290.0
53147,5067,2681,2594,2594,0.0,-87,-5220,53.147,3.519999999999996,-1203.0,-1290.0
53228,5148,2681,2594,2594,0.0,-87,-5220,53.228,3.600999999999999,-1203.0,-1290.0
53307,5227,2681,2594,2594,0.0,-87,-5220,53.307,3.6799999999999997,-1203.0,-1290.0
53387,5307,2681,2594,2594,0.0,-87,-5220,53.387,3.759999999999998,-1203.0,-1290.0
53466,5386,2681,2594,2594,0.0,-87,-5220,53.466,3.8389999999999986,-1203.0,-1290.0
53547,5467,2681,2594,2594,0.0,-87,-5220,53.547,3.9199999999999946,-1203.0,-1290.0
53627,5547,2681,2594,2594,0.0,-87,-5220,53.627,4.0,-1203.0,-1290.0
53707,5627,2681,2594,2594,0.0,-87,-5220,53.707,4.079999999999998,-1203.0,-1290.0
53787,5707,2681,2594,2594,0.0,-87,-5220,53.787,4.159999999999997,-1203.0,-1290.0
53867,5787,2681,2594,2594,0.0,-87,-5220,53.867,4.239999999999995,-1203.0,-1290.0
53947,5867,2681,2594,2594,0.0,-87,-5220,53.947,4.32,-1203.0,-1290.0
54026,5946,2681,2594,2594,0.0,-87,-5220,54.026,4.399000000000001,-1203.0,-1290.0
54106,6026,2681,2594,2594,0.0,-87,-5220,54.106,4.478999999999999,-1203.0,-1290.0
54187,6107,2681,2594,2594,0.0,-87,-5220,54.187,4.559999999999995,-1203.0,-1290.0
54267,6187,2681,2594,2594,0.0,-87,-5220,54.267,4.640000000000001,-1203.0,-1290.0
54347,6267,2681,2594,2594,0.0,-87,-5220,54.347,4.719999999999999,-1203.0,-1290.0
54426,6346,2681,2594,2594,0.0,-87,-5220,54.426,4.7989999999999995,-1203.0,-1290.0
54507,6427,2681,2594,2594,0.0,-87,-5220,54.507,4.8799999999999955,-1203.0,-1290.0
54587,6507,2681,2594,2594,0.0,-87,-5220,54.587,4.960000000000001,-1203.0,-1290.0
54668,6588,2681,2594,2594,0.0,-87,-5220,54.668,5.040999999999997,-1203.0,-1290.0
54747,6667,2681,2594,2594,0.0,-87,-5220,54.747,5.119999999999997,-1203.0,-1290.0
54827,6747,2681,2594,2594,0.0,-87,-5220,54.827,5.199999999999996,-1203.0,-1290.0
54907,6827,2681,2594,2594,0.0,-87,-5220,54.907,5.279999999999994,-1203.0,-1290.0
54986,6906,2681,2594,2594,0.0,-87,-5220,54.986,5.358999999999995,-1203.0,-1290.0
55067,6987,2681,2594,2594,0.0,-87,-5220,55.067,5.439999999999998,-1203.0,-1290.0
55147,7067,2681,2594,2594,0.0,-87,-5220,55.147,5.519999999999996,-1203.0,-1290.0
55227,7147,2681,2594,2594,0.0,-87,-5220,55.227,5.599999999999994,-1203.0,-1290.0
55307,7227,2681,2594,2594,0.0,-87,-5220,55.307,5.68,-1203.0,-1290.0
55387,7307,2681,2594,2594,0.0,-87,-5220,55.387,5.759999999999998,-1203.0,-1290.0
55468,7388,2681,2594,2594,0.0,-87,-5220,55.468,5.841000000000001,-1203.0,-1290.0
55547,7467,2681,2594,2594,0.0,-87,-5220,55.547,5.919999999999995,-1203.0,-1290.0
55626,7546,2681,2594,2594,0.0,-87,-5220,55.626,5.998999999999995,-1203.0,-1290.0
55706,7626,2681,2594,2594,0.0,-87,-5220,55.706,6.079000000000001,-1203.0,-1290.0
55787,7707,2681,2594,2594,0.0,-87,-5220,55.787,6.159999999999997,-1203.0,-1290.0
55867,7787,2681,2594,2594,0.0,-87,-5220,55.867,6.239999999999995,-1203.0,-1290.0
55946,7866,2681,2594,2594,0.0,-87,-5220,55.946,6.3189999999999955,-1203.0,-1290.0
56027,7947,2681,2594,2594,0.0,-87,-5220,56.027,6.399999999999999,-1203.0,-1290.0
56106,8026,2681,2594,2594,0.0,-87,-5220,56.106,6.478999999999999,-1203.0,-1290.0
56187,8107,2681,2594,2594,0.0,-87,-5220,56.187,6.559999999999995,-1203.0,-1290.0
56267,8187,2681,2594,2594,0.0,-87,-5220,56.267,6.640000000000001,-1203.0,-1290.0
56346,8266,2681,2594,2594,0.0,-87,-5220,56.346,6.718999999999994,-1203.0,-1290.0
56426,8346,2681,2594,2594,0.0,-87,-5220,56.426,6.7989999999999995,-1203.0,-1290.0
56507,8427,2681,2594,2594,0.0,-87,-5220,56.507,6.8799999999999955,-1203.0,-1290.0
56587,8507,2681,2594,2594,0.0,-87,-5220,56.587,6.960000000000001,-1203.0,-1290.0
56666,8586,2681,2594,2594,0.0,-87,-5220,56.666,7.038999999999994,-1203.0,-1290.0
56747,8667,2681,2594,2594,0.0,-87,-5220,56.747,7.119999999999997,-1203.0,-1290.0
56826,8746,2681,2594,2594,0.0,-87,-5220,56.826,7.198999999999998,-1203.0,-1290.0
56906,8826,2681,2594,2594,0.0,-87,-5220,56.906,7.278999999999996,-1203.0,-1290.0
56987,8907,2681,2594,2594,0.0,-87,-5220,56.987,7.359999999999999,-1203.0,-1290.0
