Time[ms],Realtime Tick,Present Position,Goal Position,Position Trajectory,change,error,K*error,Time[s]
0,17454,3659,3753,3753,0.0,94,5640,0.0
96,17550,3659,3753,3753,0.0,94,5640,0.096
175,17629,3659,3753,3753,0.0,94,5640,0.175
255,17709,3658,3753,3753,0.0,95,5700,0.255
335,17789,3659,3753,3753,0.0,94,5640,0.335
415,17869,3659,3753,3753,0.0,94,5640,0.415
496,17950,3658,3753,3753,0.0,95,5700,0.496
576,18030,3659,3753,3753,0.0,94,5640,0.576
656,18110,3659,3753,3753,0.0,94,5640,0.656
736,18190,3659,3753,3753,0.0,94,5640,0.736
816,18270,3659,3753,3753,0.0,94,5640,0.816
896,18350,3658,3753,3753,0.0,95,5700,0.896
976,18430,3659,3753,3753,0.0,94,5640,0.976
1056,18510,3659,3753,3753,0.0,94,5640,1.056
1136,18590,3659,3753,3753,0.0,94,5640,1.136
1216,18670,3659,3753,3753,0.0,94,5640,1.216
1296,18750,3659,3753,3753,0.0,94,5640,1.296
1376,18830,3658,3753,3753,0.0,95,5700,1.376
1456,18910,3659,3753,3753,0.0,94,5640,1.456
1536,18990,3659,3753,3753,0.0,94,5640,1.536
1616,19070,3659,3753,3753,0.0,94,5640,1.616
1696,19150,3659,3753,3753,0.0,94,5640,1.696
1776,19230,3659,3753,3753,0.0,94,5640,1.776
1856,19310,3659,3753,3753,0.0,94,5640,1.856
1936,19390,3659,3753,3753,0.0,94,5640,1.936
2016,19470,3659,3753,3753,0.0,94,5640,2.016
2096,19550,3659,3753,3753,0.0,94,5640,2.096
2176,19630,3659,3753,3753,0.0,94,5640,2.176
2256,19710,3659,3753,3753,0.0,94,5640,2.256
2336,19790,3658,3753,3753,0.0,95,5700,2.336
2416,19870,3659,3753,3753,0.0,94,5640,2.416
2495,19949,3659,3753,3753,0.0,94,5640,2.495
2575,20029,3659,3753,3753,0.0,94,5640,2.575
2656,20110,3659,3753,3753,0.0,94,5640,2.656
2736,20190,3659,3753,3753,0.0,94,5640,2.736
2815,20269,3658,3753,3753,0.0,95,5700,2.815
2896,20350,3658,3753,3753,0.0,95,5700,2.896
2977,20431,3659,3753,3753,0.0,94,5640,2.977
3055,20509,3658,3753,3753,0.0,95,5700,3.055
3135,20589,3659,3753,3753,0.0,94,5640,3.135
3216,20670,3659,3753,3753,0.0,94,5640,3.216
3296,20750,3658,3753,3753,0.0,95,5700,3.296
3376,20830,3659,3753,3753,0.0,94,5640,3.376
3456,20910,3659,3753,3753,0.0,94,5640,3.456
3535,20989,3659,3753,3753,0.0,94,5640,3.535
3615,21069,3659,3753,3753,0.0,94,5640,3.615
3695,21149,3659,3753,3753,0.0,94,5640,3.695
3775,21229,3659,3753,3753,0.0,94,5640,3.775
3855,21309,3659,3753,3753,0.0,94,5640,3.855
3935,21389,3659,3753,3753,0.0,94,5640,3.935
4015,21469,3659,3753,3753,0.0,94,5640,4.015
4095,21549,3659,3753,3753,0.0,94,5640,4.095
4175,21629,3658,3753,3753,0.0,95,5700,4.175
4255,21709,3659,3753,3753,0.0,94,5640,4.255
4335,21789,3659,3753,3753,0.0,94,5640,4.335
4415,21869,3659,3753,3753,0.0,94,5640,4.415
4495,21949,3659,3753,3753,0.0,94,5640,4.495
4575,22029,3659,3753,3753,0.0,94,5640,4.575
4655,22109,3659,3753,3753,0.0,94,5640,4.655
4735,22189,3658,3753,3753,0.0,95,5700,4.735
4815,22269,3659,3753,3753,0.0,94,5640,4.815
4895,22349,3658,3753,3753,0.0,95,5700,4.895
4975,22429,3659,3753,3753,0.0,94,5640,4.975
5055,22509,3659,3753,3753,0.0,94,5640,5.055
5135,22589,3659,3753,3753,0.0,94,5640,5.135
5215,22669,3659,3753,3753,0.0,94,5640,5.215
5295,22749,3659,3753,3753,0.0,94,5640,5.295
5376,22830,3659,3753,3753,0.0,94,5640,5.376
5456,22910,3659,3753,3753,0.0,94,5640,5.456
5535,22989,3659,3753,3753,0.0,94,5640,5.535
5615,23069,3658,3753,3753,0.0,95,5700,5.615
5695,23149,3659,3753,3753,0.0,94,5640,5.695
5776,23230,3659,3753,3753,0.0,94,5640,5.776
5855,23309,3659,3753,3753,0.0,94,5640,5.855
5935,23389,3658,3753,3753,0.0,95,5700,5.935
6016,23470,3659,3753,3753,0.0,94,5640,6.016
6095,23549,3659,3753,3753,0.0,94,5640,6.095
6175,23629,3659,3753,3753,0.0,94,5640,6.175
6255,23709,3659,3753,3753,0.0,94,5640,6.255
6335,23789,3658,3753,3753,0.0,95,5700,6.335
6415,23869,3659,3753,3753,0.0,94,5640,6.415
6495,23949,3659,3753,3753,0.0,94,5640,6.495
6576,24030,3659,3753,3753,0.0,94,5640,6.576
6655,24109,3659,3753,3753,0.0,94,5640,6.655
6735,24189,3659,3753,3753,0.0,94,5640,6.735
6815,24269,3659,3753,3753,0.0,94,5640,6.815
6895,24349,3658,3753,3753,0.0,95,5700,6.895
6975,24429,3659,3753,3753,0.0,94,5640,6.975
7055,24509,3659,3753,3753,0.0,94,5640,7.055
7135,24589,3659,3753,3753,0.0,94,5640,7.135
7227,24681,3658,3003,3003,-750.0,-655,-39300,7.227
7315,24769,3572,3003,3003,0.0,-569,-34140,7.315
7395,24849,3479,3003,3003,0.0,-476,-28560,7.395
7474,24928,3402,3003,3003,0.0,-399,-23940,7.474
7555,25009,3341,3003,3003,0.0,-338,-20280,7.555
7635,25089,3293,3003,3003,0.0,-290,-17400,7.635
7715,25169,3254,3003,3003,0.0,-251,-15060,7.715
7795,25249,3223,3003,3003,0.0,-220,-13200,7.795
7875,25329,3200,3003,3003,0.0,-197,-11820,7.875
7955,25409,3178,3003,3003,0.0,-175,-10500,7.955
8034,25488,3160,3003,3003,0.0,-157,-9420,8.034
8115,25569,3150,3003,3003,0.0,-147,-8820,8.115
8194,25648,3141,3003,3003,0.0,-138,-8280,8.194
8275,25729,3129,3003,3003,0.0,-126,-7560,8.275
8355,25809,3120,3003,3003,0.0,-117,-7020,8.355
8435,25889,3114,3003,3003,0.0,-111,-6660,8.435
8514,25968,3112,3003,3003,0.0,-109,-6540,8.514
8594,26048,3112,3003,3003,0.0,-109,-6540,8.594
8675,26129,3112,3003,3003,0.0,-109,-6540,8.675
8755,26209,3112,3003,3003,0.0,-109,-6540,8.755
8835,26289,3112,3003,3003,0.0,-109,-6540,8.835
8915,26369,3112,3003,3003,0.0,-109,-6540,8.915
8995,26449,3112,3003,3003,0.0,-109,-6540,8.995
9075,26529,3112,3003,3003,0.0,-109,-6540,9.075
9155,26609,3112,3003,3003,0.0,-109,-6540,9.155
9235,26689,3112,3003,3003,0.0,-109,-6540,9.235
9314,26768,3112,3003,3003,0.0,-109,-6540,9.314
9394,26848,3112,3003,3003,0.0,-109,-6540,9.394
9474,26928,3112,3003,3003,0.0,-109,-6540,9.474
9554,27008,3112,3003,3003,0.0,-109,-6540,9.554
9634,27088,3112,3003,3003,0.0,-109,-6540,9.634
9714,27168,3112,3003,3003,0.0,-109,-6540,9.714
9795,27249,3112,3003,3003,0.0,-109,-6540,9.795
9875,27329,3112,3003,3003,0.0,-109,-6540,9.875
9954,27408,3112,3003,3003,0.0,-109,-6540,9.954
10034,27488,3112,3003,3003,0.0,-109,-6540,10.034
10114,27568,3112,3003,3003,0.0,-109,-6540,10.114
10194,27648,3112,3003,3003,0.0,-109,-6540,10.194
10275,27729,3112,3003,3003,0.0,-109,-6540,10.275
10354,27808,3112,3003,3003,0.0,-109,-6540,10.354
10434,27888,3112,3003,3003,0.0,-109,-6540,10.434
10514,27968,3112,3003,3003,0.0,-109,-6540,10.514
10594,28048,3112,3003,3003,0.0,-109,-6540,10.594
10674,28128,3112,3003,3003,0.0,-109,-6540,10.674
10754,28208,3112,3003,3003,0.0,-109,-6540,10.754
10834,28288,3112,3003,3003,0.0,-109,-6540,10.834
10914,28368,3112,3003,3003,0.0,-109,-6540,10.914
10995,28449,3112,3003,3003,0.0,-109,-6540,10.995
11074,28528,3112,3003,3003,0.0,-109,-6540,11.074
11154,28608,3112,3003,3003,0.0,-109,-6540,11.154
11234,28688,3112,3003,3003,0.0,-109,-6540,11.234
11314,28768,3112,3003,3003,0.0,-109,-6540,11.314
11395,28849,3112,3003,3003,0.0,-109,-6540,11.395
11474,28928,3112,3003,3003,0.0,-109,-6540,11.474
11554,29008,3112,3003,3003,0.0,-109,-6540,11.554
11634,29088,3112,3003,3003,0.0,-109,-6540,11.634
11714,29168,3112,3003,3003,0.0,-109,-6540,11.714
11794,29248,3112,3003,3003,0.0,-109,-6540,11.794
11874,29328,3112,3003,3003,0.0,-109,-6540,11.874
11954,29408,3112,3003,3003,0.0,-109,-6540,11.954
12034,29488,3112,3003,3003,0.0,-109,-6540,12.034
12114,29568,3112,3003,3003,0.0,-109,-6540,12.114
12194,29648,3112,3003,3003,0.0,-109,-6540,12.194
12274,29728,3112,3003,3003,0.0,-109,-6540,12.274
12354,29808,3112,3003,3003,0.0,-109,-6540,12.354
12434,29888,3112,3003,3003,0.0,-109,-6540,12.434
12514,29968,3112,3003,3003,0.0,-109,-6540,12.514
12594,30048,3112,3003,3003,0.0,-109,-6540,12.594
12674,30128,3112,3003,3003,0.0,-109,-6540,12.674
12754,30208,3112,3003,3003,0.0,-109,-6540,12.754
12834,30288,3112,3003,3003,0.0,-109,-6540,12.834
12914,30368,3112,3003,3003,0.0,-109,-6540,12.914
12994,30448,3112,3003,3003,0.0,-109,-6540,12.994
13074,30528,3112,3003,3003,0.0,-109,-6540,13.074
13154,30608,3112,3003,3003,0.0,-109,-6540,13.154
13234,30688,3112,3003,3003,0.0,-109,-6540,13.234
13321,30775,3111,1961,1961,-1042.0,-1150,-69000,13.321
13395,30849,2998,1961,1961,0.0,-1037,-62220,13.395
13474,30928,2836,1961,1961,0.0,-875,-52500,13.474
13554,31008,2688,1961,1961,0.0,-727,-43620,13.554
13634,31088,2563,1961,1961,0.0,-602,-36120,13.634
13714,31168,2461,1961,1961,0.0,-500,-30000,13.714
13794,31248,2381,1961,1961,0.0,-420,-25200,13.794
13874,31328,2317,1961,1961,0.0,-356,-21360,13.874
13954,31408,2267,1961,1961,0.0,-306,-18360,13.954
14034,31488,2227,1961,1961,0.0,-266,-15960,14.034
14114,31568,2194,1961,1961,0.0,-233,-13980,14.114
14194,31648,2167,1961,1961,0.0,-206,-12360,14.194
14274,31728,2146,1961,1961,0.0,-185,-11100,14.274
14354,31808,2130,1961,1961,0.0,-169,-10140,14.354
14434,31888,2117,1961,1961,0.0,-156,-9360,14.434
14514,31968,2106,1961,1961,0.0,-145,-8700,14.514
14594,32048,2100,1961,1961,0.0,-139,-8340,14.594
14674,32128,2097,1961,1961,0.0,-136,-8160,14.674
14754,32208,2095,1961,1961,0.0,-134,-8040,14.754
14834,32288,2094,1961,1961,0.0,-133,-7980,14.834
14914,32368,2094,1961,1961,0.0,-133,-7980,14.914
14994,32448,2094,1961,1961,0.0,-133,-7980,14.994
15074,32528,2094,1961,1961,0.0,-133,-7980,15.074
15154,32608,2094,1961,1961,0.0,-133,-7980,15.154
15234,32688,2094,1961,1961,0.0,-133,-7980,15.234
15313,0,2094,1961,1961,0.0,-133,-7980,15.313
15393,80,2094,1961,1961,0.0,-133,-7980,15.393
15473,160,2094,1961,1961,0.0,-133,-7980,15.473
15553,240,2094,1961,1961,0.0,-133,-7980,15.553
15633,320,2094,1961,1961,0.0,-133,-7980,15.633
15713,400,2094,1961,1961,0.0,-133,-7980,15.713
15793,480,2094,1961,1961,0.0,-133,-7980,15.793
15873,560,2094,1961,1961,0.0,-133,-7980,15.873
15953,640,2094,1961,1961,0.0,-133,-7980,15.953
16033,720,2094,1961,1961,0.0,-133,-7980,16.033
16112,799,2094,1961,1961,0.0,-133,-7980,16.112
16193,880,2094,1961,1961,0.0,-133,-7980,16.193
16273,960,2094,1961,1961,0.0,-133,-7980,16.273
16353,1040,2094,1961,1961,0.0,-133,-7980,16.353
16433,1120,2094,1961,1961,0.0,-133,-7980,16.433
16514,1201,2094,1961,1961,0.0,-133,-7980,16.514
16593,1280,2094,1961,1961,0.0,-133,-7980,16.593
16673,1360,2094,1961,1961,0.0,-133,-7980,16.673
16752,1439,2094,1961,1961,0.0,-133,-7980,16.752
16833,1520,2094,1961,1961,0.0,-133,-7980,16.833
16913,1600,2094,1961,1961,0.0,-133,-7980,16.913
16993,1680,2094,1961,1961,0.0,-133,-7980,16.993
17073,1760,2094,1961,1961,0.0,-133,-7980,17.073
17152,1839,2094,1961,1961,0.0,-133,-7980,17.152
17232,1919,2094,1961,1961,0.0,-133,-7980,17.232
17312,1999,2094,1961,1961,0.0,-133,-7980,17.312
17393,2080,2094,1961,1961,0.0,-133,-7980,17.393
17473,2160,2094,1961,1961,0.0,-133,-7980,17.473
17553,2240,2094,1961,1961,0.0,-133,-7980,17.553
17633,2320,2094,1961,1961,0.0,-133,-7980,17.633
17712,2399,2094,1961,1961,0.0,-133,-7980,17.712
17793,2480,2094,1961,1961,0.0,-133,-7980,17.793
17873,2560,2094,1961,1961,0.0,-133,-7980,17.873
17952,2639,2094,1961,1961,0.0,-133,-7980,17.952
18032,2719,2094,1961,1961,0.0,-133,-7980,18.032
18113,2800,2094,1961,1961,0.0,-133,-7980,18.113
18193,2880,2094,1961,1961,0.0,-133,-7980,18.193
18273,2960,2094,1961,1961,0.0,-133,-7980,18.273
18353,3040,2094,1961,1961,0.0,-133,-7980,18.353
18433,3120,2094,1961,1961,0.0,-133,-7980,18.433
18512,3199,2094,1961,1961,0.0,-133,-7980,18.512
18594,3281,2094,1961,1961,0.0,-133,-7980,18.594
18673,3360,2094,1961,1961,0.0,-133,-7980,18.673
18753,3440,2094,1961,1961,0.0,-133,-7980,18.753
18838,3525,2095,3512,3512,1551.0,1417,85020,18.838
18913,3600,2242,3512,3512,0.0,1270,76200,18.913
18992,3679,2446,3512,3512,0.0,1066,63960,18.992
19073,3760,2639,3512,3512,0.0,873,52380,19.073
19152,3839,2796,3512,3512,0.0,716,42960,19.152
19233,3920,2917,3512,3512,0.0,595,35700,19.233
19312,3999,3012,3512,3512,0.0,500,30000,19.312
19392,4079,3087,3512,3512,0.0,425,25500,19.392
19472,4159,3148,3512,3512,0.0,364,21840,19.472
19552,4239,3198,3512,3512,0.0,314,18840,19.552
19632,4319,3235,3512,3512,0.0,277,16620,19.632
19713,4400,3266,3512,3512,0.0,246,14760,19.713
19793,4480,3294,3512,3512,0.0,218,13080,19.793
19873,4560,3311,3512,3512,0.0,201,12060,19.873
19952,4639,3329,3512,3512,0.0,183,10980,19.952
20032,4719,3345,3512,3512,0.0,167,10020,20.032
20112,4799,3354,3512,3512,0.0,158,9480,20.112
20192,4879,3359,3512,3512,0.0,153,9180,20.192
20272,4959,3362,3512,3512,0.0,150,9000,20.272
20353,5040,3369,3512,3512,0.0,143,8580,20.353
20432,5119,3378,3512,3512,0.0,134,8040,20.432
20512,5199,3386,3512,3512,0.0,126,7560,20.512
20592,5279,3392,3512,3512,0.0,120,7200,20.592
20673,5360,3395,3512,3512,0.0,117,7020,20.673
20752,5439,3397,3512,3512,0.0,115,6900,20.752
20833,5520,3397,3512,3512,0.0,115,6900,20.833
20912,5599,3397,3512,3512,0.0,115,6900,20.912
20992,5679,3397,3512,3512,0.0,115,6900,20.992
21072,5759,3397,3512,3512,0.0,115,6900,21.072
21153,5840,3397,3512,3512,0.0,115,6900,21.153
21232,5919,3397,3512,3512,0.0,115,6900,21.232
21312,5999,3397,3512,3512,0.0,115,6900,21.312
21392,6079,3397,3512,3512,0.0,115,6900,21.392
21473,6160,3397,3512,3512,0.0,115,6900,21.473
21553,6240,3397,3512,3512,0.0,115,6900,21.553
21632,6319,3397,3512,3512,0.0,115,6900,21.632
21712,6399,3397,3512,3512,0.0,115,6900,21.712
21792,6479,3397,3512,3512,0.0,115,6900,21.792
21873,6560,3398,3512,3512,0.0,114,6840,21.873
21952,6639,3397,3512,3512,0.0,115,6900,21.952
22032,6719,3398,3512,3512,0.0,114,6840,22.032
22113,6800,3397,3512,3512,0.0,115,6900,22.113
22192,6879,3398,3512,3512,0.0,114,6840,22.192
22273,6960,3397,3512,3512,0.0,115,6900,22.273
22352,7039,3398,3512,3512,0.0,114,6840,22.352
22432,7119,3398,3512,3512,0.0,114,6840,22.432
22512,7199,3398,3512,3512,0.0,114,6840,22.512
22592,7279,3398,3512,3512,0.0,114,6840,22.592
22672,7359,3398,3512,3512,0.0,114,6840,22.672
22752,7439,3397,3512,3512,0.0,115,6900,22.752
22831,7518,3397,3512,3512,0.0,115,6900,22.831
22912,7599,3398,3512,3512,0.0,114,6840,22.912
22992,7679,3397,3512,3512,0.0,115,6900,22.992
23072,7759,3397,3512,3512,0.0,115,6900,23.072
23152,7839,3397,3512,3512,0.0,115,6900,23.152
23232,7919,3398,3512,3512,0.0,114,6840,23.232
23312,7999,3397,3512,3512,0.0,115,6900,23.312
23391,8078,3397,3512,3512,0.0,115,6900,23.391
23472,8159,3398,3512,3512,0.0,114,6840,23.472
23552,8239,3397,3512,3512,0.0,115,6900,23.552
23632,8319,3398,3512,3512,0.0,114,6840,23.632
23711,8398,3397,3512,3512,0.0,115,6900,23.711
23792,8479,3397,3512,3512,0.0,115,6900,23.792
23871,8558,3397,3512,3512,0.0,115,6900,23.871
23952,8639,3397,3512,3512,0.0,115,6900,23.952
24031,8718,3397,3512,3512,0.0,115,6900,24.031
24111,8798,3397,3512,3512,0.0,115,6900,24.111
24192,8879,3397,3512,3512,0.0,115,6900,24.192
24272,8959,3397,3512,3512,0.0,115,6900,24.272
24352,9039,3398,3512,3512,0.0,114,6840,24.352
24431,9118,3398,3512,3512,0.0,114,6840,24.431
24512,9199,3398,3512,3512,0.0,114,6840,24.512
24592,9279,3398,3512,3512,0.0,114,6840,24.592
24672,9359,3398,3512,3512,0.0,114,6840,24.672
24752,9439,3398,3512,3512,0.0,114,6840,24.752
24831,9518,3398,3512,3512,0.0,114,6840,24.831
24912,9599,3398,3512,3512,0.0,114,6840,24.912
24991,9678,3398,3512,3512,0.0,114,6840,24.991
25091,9778,3404,4019,4019,507.0,615,36900,25.091
25172,9859,3478,4019,4019,0.0,541,32460,25.172
25251,9938,3557,4019,4019,0.0,462,27720,25.251
25331,10018,3625,4019,4019,0.0,394,23640,25.331
25412,10099,3681,4019,4019,0.0,338,20280,25.412
25491,10178,3726,4019,4019,0.0,293,17580,25.491
25572,10259,3764,4019,4019,0.0,255,15300,25.572
25651,10338,3792,4019,4019,0.0,227,13620,25.651
25731,10418,3818,4019,4019,0.0,201,12060,25.731
25811,10498,3838,4019,4019,0.0,181,10860,25.811
25891,10578,3854,4019,4019,0.0,165,9900,25.891
25972,10659,3868,4019,4019,0.0,151,9060,25.972
26051,10738,3880,4019,4019,0.0,139,8340,26.051
26132,10819,3885,4019,4019,0.0,134,8040,26.132
26212,10899,3889,4019,4019,0.0,130,7800,26.212
26292,10979,3892,4019,4019,0.0,127,7620,26.292
26372,11059,3894,4019,4019,0.0,125,7500,26.372
26451,11138,3897,4019,4019,0.0,122,7320,26.451
26531,11218,3900,4019,4019,0.0,119,7140,26.531
26612,11299,3903,4019,4019,0.0,116,6960,26.612
26691,11378,3908,4019,4019,0.0,111,6660,26.691
26771,11458,3909,4019,4019,0.0,110,6600,26.771
26851,11538,3911,4019,4019,0.0,108,6480,26.851
26932,11619,3913,4019,4019,0.0,106,6360,26.932
27011,11698,3912,4019,4019,0.0,107,6420,27.011
27091,11778,3913,4019,4019,0.0,106,6360,27.091
27172,11859,3913,4019,4019,0.0,106,6360,27.172
27251,11938,3913,4019,4019,0.0,106,6360,27.251
27332,12019,3913,4019,4019,0.0,106,6360,27.332
27411,12098,3912,4019,4019,0.0,107,6420,27.411
27492,12179,3913,4019,4019,0.0,106,6360,27.492
27571,12258,3913,4019,4019,0.0,106,6360,27.571
27652,12339,3913,4019,4019,0.0,106,6360,27.652
27731,12418,3913,4019,4019,0.0,106,6360,27.731
27811,12498,3913,4019,4019,0.0,106,6360,27.811
27891,12578,3913,4019,4019,0.0,106,6360,27.891
27971,12658,3913,4019,4019,0.0,106,6360,27.971
28051,12738,3913,4019,4019,0.0,106,6360,28.051
28131,12818,3913,4019,4019,0.0,106,6360,28.131
28212,12899,3913,4019,4019,0.0,106,6360,28.212
28291,12978,3913,4019,4019,0.0,106,6360,28.291
28372,13059,3913,4019,4019,0.0,106,6360,28.372
28451,13138,3913,4019,4019,0.0,106,6360,28.451
28532,13219,3913,4019,4019,0.0,106,6360,28.532
